ACTID,ANAME,SEX,BYEAR
1,张译,男,1978
2,黄景瑜,男,1992
3,海清,女,1978
4,杜江,男,1985
5,章子怡,女,1979
6,张震,男,1976
7,黄晓明,男,1977
8,王力宏,男,1976
9,梁朝伟,男,1962
10,白百何,女,1984
11,井柏然,男,1989
12,曾志伟,男,1953
13,柳岩,女,1980
14,吴君如,女,1965
15,刘德华,男,1961
16,姚晨,女,1979
17,宋慧乔,女,1982
18,章子怡,女,1979
19,金城武,男,1973
20,吴京,男,1974
21,卢靖姗,女,1985
22,余男,女,1978
999,李自己,男,1998
ACTID,ANAME,SEX,BYEAR
1,张译,男,1978
2,黄景瑜,男,1992
3,海清,女,1978
4,杜江,男,1985
5,章子怡,女,1979
6,张震,男,1976
7,黄晓明,男,1977
8,王力宏,男,1976
9,梁朝伟,男,1962
10,白百何,女,1984
11,井柏然,男,1989
12,曾志伟,男,1953
13,柳岩,女,1980
14,吴君如,女,1965
15,刘德华,男,1961
16,姚晨,女,1979
17,宋慧乔,女,1982
18,章子怡,女,1979
19,金城武,男,1973
20,吴京,男,1974
21,卢靖姗,女,1985
22,余男,女,1978
999,李自己,男,1998
